date,avg_temperature_c,total_rainfall_mm,avg_humidity,sensor_count
2026-01-01,27.891607142857143,1029.38,62.79545454545455,36
2026-01-02,27.595806451612905,1256.93,65.43636363636364,37
2026-01-03,25.007,1242.64,59.0,36
2026-01-04,29.244736842105265,1175.51,66.28846153846153,36
2026-01-05,28.708421052631582,1205.95,61.39622641509434,28
2026-01-06,27.06,1138.8899999999999,61.90384615384615,37
2026-01-07,27.70865671641791,1243.0,59.46666666666667,38
2026-01-08,27.30666666666667,956.72,70.23809523809524,34
2026-01-09,28.282807017543856,979.03,59.64705882352941,31
2026-01-10,29.039622641509432,1093.79,59.61702127659574,29
2026-01-11,25.410847457627117,1225.62,62.74545454545454,35
2026-01-12,26.53439024390244,938.07,58.270270270270274,28
2026-01-13,27.07,1185.6,59.91304347826087,31
2026-01-14,26.357307692307693,1002.03,59.97674418604651,34
2026-01-15,27.168518518518518,880.61,66.16666666666667,35
2026-01-16,28.75103448275862,1204.33,61.470588235294116,33
2026-01-17,29.84844827586207,1375.31,63.716981132075475,32
2026-01-18,27.929722222222225,859.27,69.125,23
2026-01-19,26.927966101694917,1400.48,56.339622641509436,32
2026-01-20,28.399814814814814,1003.79,62.13725490196079,33
2026-01-21,25.692156862745097,1187.26,61.55813953488372,32
2026-01-22,28.51181818181818,960.93,63.891891891891895,29
2026-01-23,26.830000000000002,889.66,59.588235294117645,24
2026-01-24,25.808688524590163,1506.94,63.46,34
2026-01-25,28.885454545454543,1320.49,59.80597014925373,40
2026-01-26,27.84232142857143,1347.93,64.15094339622641,35
2026-01-27,26.885098039215688,836.5699999999999,62.775510204081634,33
2026-01-28,28.638431372549018,1103.19,64.51063829787235,27
2026-01-29,28.365185185185187,1221.68,63.04347826086956,33
2026-01-30,28.599807692307692,1364.68,60.391304347826086,33
2026-01-31,26.841971830985916,1403.32,65.90163934426229,37
2026-02-01,27.709672131147542,1557.12,61.01754385964912,34
2026-02-02,27.737142857142857,1190.7,65.53061224489795,33
2026-02-03,27.692833333333333,1115.96,59.464285714285715,32
2026-02-04,27.955272727272728,1081.09,63.333333333333336,32
2026-02-05,29.051967213114754,1336.37,65.47368421052632,36
2026-02-06,27.683846153846154,1041.96,61.57142857142857,28
2026-02-07,28.318421052631578,1021.55,59.301886792452834,33
2026-02-08,27.962807017543863,1167.08,58.627450980392155,34
2026-02-09,26.168035714285715,1152.17,58.32692307692308,32
2026-02-10,26.849259259259256,1185.47,67.28571428571429,33
2026-02-11,28.216829268292685,964.3,65.48717948717949,27
2026-02-12,27.51311475409836,1489.87,63.05084745762712,32
2026-02-13,27.918958333333332,973.93,57.390243902439025,30
2026-02-14,26.596851851851852,1129.32,63.11764705882353,35
2026-02-15,25.990754716981133,1247.6399999999999,61.270833333333336,30
2026-02-16,27.445833333333333,742.19,62.64705882352941,25
2026-02-17,27.73156862745098,924.99,62.54545454545455,33
2026-02-18,26.746808510638296,1106.65,64.76923076923077,33
2026-02-19,27.015666666666668,1206.15,63.241379310344826,36
2026-02-20,25.263333333333335,1013.75,65.1304347826087,32
2026-02-21,28.062833333333334,1281.77,64.84905660377359,33
2026-02-22,26.458703703703705,1172.6100000000001,70.41666666666667,35
2026-02-23,27.723728813559323,1100.77,62.31372549019608,37
2026-02-24,27.613015873015875,1271.6,67.69090909090909,36
2026-02-25,29.39808510638298,802.71,65.72727272727273,35
2026-02-26,28.358305084745766,1362.41,62.0188679245283,33
2026-02-27,26.48453125,1463.8,65.98245614035088,37
2026-02-28,26.305857142857143,1472.87,60.516666666666666,34
2026-03-01,27.22741935483871,1325.86,59.56666666666667,33
2026-03-02,28.195573770491805,1323.5,63.271186440677965,36
2026-03-03,28.333214285714288,1089.99,60.26,34
